iter	Passed	Remaining
667	3060	1520
668	3065	1516
669	3068	1511
670	3071	1506
671	3074	1500
672	3079	1496
673	3083	1491
674	3086	1486
675	3089	1480
676	3092	1475
677	3097	1471
678	3100	1465
679	3103	1460
680	3106	1455
681	3112	1451
682	3115	1446
683	3119	1440
684	3123	1436
685	3127	1431
686	3130	1426
687	3133	1421
688	3137	1416
689	3143	1412
690	3145	1406
691	3148	1401
692	3152	1396
693	3156	1391
694	3160	1386
695	3163	1381
696	3166	1376
697	3172	1372
698	3175	1367
699	3178	1362
700	3181	1356
701	3186	1352
702	3189	1347
703	3192	1342
704	3195	1337
705	3200	1332
706	3204	1327
707	3207	1322
708	3210	1317
709	3215	1313
710	3219	1308
711	3221	1303
712	3225	1298
713	3228	1293
714	3232	1288
715	3235	1283
716	3238	1278
717	3241	1273
718	3247	1269
719	3250	1263
720	3252	1258
721	3255	1253
722	3259	1248
723	3262	1243
724	3265	1238
725	3268	1233
726	3274	1229
727	3278	1224
728	3281	1219
729	3284	1214
730	3287	1209
731	3292	1205
732	3294	1200
733	3297	1195
734	3303	1190
735	3306	1185
736	3309	1180
737	3312	1175
738	3315	1170
739	3319	1166
740	3322	1161
741	3325	1156
742	3328	1151
743	3330	1146
744	3336	1142
745	3339	1137
746	3343	1132
747	3347	1127
748	3350	1122
749	3353	1117
750	3356	1112
751	3360	1108
752	3364	1103
753	3368	1098
754	3371	1093
755	3374	1089
756	3378	1084
757	3381	1079
758	3384	1074
759	3387	1069
760	3389	1064
761	3394	1060
762	3397	1055
763	3400	1050
764	3403	1045
765	3407	1040
766	3410	1036
767	3413	1031
768	3416	1026
769	3419	1021
770	3423	1016
771	3426	1011
772	3429	1007
773	3433	1002
774	3438	998
775	3442	993
776	3446	989
777	3448	984
778	3453	979
779	3456	974
780	3459	970
781	3461	965
782	3464	960
783	3468	955
784	3471	950
785	3475	946
786	3478	941
787	3484	937
788	3487	932
789	3491	927
790	3493	923
791	3498	918
792	3501	913
793	3504	909
794	3507	904
795	3510	899
796	3514	895
797	3517	890
798	3520	885
799	3523	880
800	3528	876
801	3531	871
802	3535	867
803	3538	862
804	3542	858
805	3546	853
806	3548	848
807	3551	843
808	3553	839
809	3559	834
810	3562	830
811	3565	825
812	3568	820
813	3573	816
814	3577	811
815	3580	807
816	3582	802
817	3587	798
818	3590	793
819	3593	788
820	3595	783
821	3598	779
822	3602	774
823	3606	770
824	3609	765
825	3612	760
826	3617	756
827	3620	752
828	3623	747
829	3626	742
830	3630	738
831	3633	733
832	3635	728
833	3638	724
834	3640	719
835	3643	714
836	3648	710
837	3652	706
838	3654	701
839	3657	696
840	3663	692
841	3667	688
842	3670	683
843	3672	678
844	3678	674
845	3681	670
846	3684	665
847	3686	660
848	3690	656
849	3694	652
850	3697	647
851	3700	642
852	3702	638
853	3706	633
854	3709	629
855	3712	624
856	3714	619
857	3718	615
858	3722	611
859	3725	606
860	3728	601
861	3731	597
862	3736	593
863	3740	588
864	3742	584
865	3745	579
866	3749	575
867	3753	570
868	3756	566
869	3759	561
870	3763	557
871	3767	552
872	3770	548
873	3773	543
874	3776	539
875	3781	535
876	3784	530
877	3787	526
878	3790	521
879	3796	517
880	3798	513
881	3801	508
882	3804	504
883	3808	499
884	3811	495
885	3814	490
886	3817	486
887	3819	481
888	3824	477
889	3827	473
890	3830	468
891	3833	464
892	3839	460
893	3842	455
894	3845	451
895	3848	446
896	3853	442
897	3856	438
898	3859	433
899	3862	429
900	3866	424
901	3871	420
902	3874	416
903	3877	411
904	3883	407
905	3886	403
906	3890	398
907	3892	394
908	3895	390
909	3901	385
910	3904	381
911	3907	377
912	3909	372
913	3915	368
914	3918	363
915	3920	359
916	3923	355
917	3926	350
918	3931	346
919	3934	342
920	3937	337
921	3940	333
922	3944	329
923	3947	324
924	3949	320
925	3952	315
926	3955	311
927	3961	307
928	3964	303
929	3967	298
930	3971	294
931	3975	290
932	3978	285
933	3980	281
934	3983	276
935	3988	272
936	3991	268
937	3994	264
938	3996	259
939	4000	255
940	4004	251
941	4007	246
942	4010	242
943	4013	238
944	4019	233
945	4022	229
946	4025	225
947	4027	220
948	4033	216
949	4036	212
950	4038	208
951	4041	203
952	4043	199
953	4050	195
954	4056	191
955	4061	186
956	4064	182
957	4067	178
958	4070	174
959	4073	169
960	4077	165
961	4080	161
962	4083	156
963	4085	152
964	4091	148
965	4094	144
966	4096	139
